Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
SMOP      ;PE 277/2020;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE SERVIÇOS E FORNECIMENTO DE MATERIAIS PARA A SUBSTITUIÇÃO DE LUMINÁRIAS VIÁRIAS HID DE 100W POR LUMINÁRIAS LED, EMPLAQUETAMENTO E ATUALIZAÇÃO DOS PONTOS NO SOFTWARE DE GESTÃO DO MUNICÍPIO EM TODAS AS REGIONAIS DE CURITIBA, EXCETO TATUQUARA -SMOP;;conforme recibo de entrega;23/11/2020;01-088685/2020;;;Processo de Compra Montado
FCC       ;PE 20/2020;PREGÃO ELETRÔNICO;Aquisição de materiais de consumo e permanentes para o CCC;R$ 25.249,54;CONFORME CONSTA NO EDITAL;19/11/2020;57-000145/2020;16/12/2020;26/12/2020;Parcialmente Empenhado
FMS       ;PE 162/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE CARGAS DE OXIGÊNIO, AR MEDICINAL E OXÍDO NITROSO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 789.031,75;conforme descrito no Edital de Embasamento;20/11/2020;01-108407/2020;19/11/2020;29/12/2021;Parcialmente Empenhado
SMMA      ;PE 278/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE FERRAMENTAS, UTENSÍLIOS DE COZINHA, FERRAGENS, MATERIAL HIDRÁULICO, MATERIAL ELÉTRICO, MADEIRAS, ÓLEOS, SACO DE LIXO, CORDA, CIMENTO, CHAPA DE AÇO, FITAS ADESIVAS, PANO EM MALHA, COLA, FILTRO DE LINHA, TELAS, SAIBROS, CALCÁRIO DOLOMÍTICO, CARRINHO DE MÃO, TUBOS, TELAS, VISANDO ATENDER DIVERSOS SETORES DA SMMA;R$ 165.552,27;Endereços nos Termos de Referência;19/11/2020;01-113457/2020;15/12/2020;14/01/2021;Parcialmente Empenhado
SMOP      ;PE 279/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO, CIMENTO A GRANEL CP II Z-32, COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEEMPREDEDORES INDIVIDUAIS;R$ 3.625.000,00;conforme recibo de entrega;19/11/2020;01-111571/2020;19/11/2020;21/12/2021;Parcialmente Empenhado
FMC       ;PE 4/2020;PREGÃO ELETRÔNICO;Aquisição de materiais e equipamentos de consumo para o desenvolvimento das atividades dos projetos aprovados no Edital nº 118/2019  Quadrinhos 2020/2021.;R$ 20.481,08;Rua Carlos Cavalcanti 533 - Centro;19/11/2020;57-000009/2020;10/12/2020;20/12/2020;Empenhado
CTBA S/A  ;PE 4/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PALANQUES DE CONCRETO COM FERRAGEM DUPLA INTERNA PARA SUSTENTAÇÃO, mediante as condições estabelecidas neste EDITAL e seus anexos, bem como outras especificações contidas no formulário proposta eletrônica e anexos, partes integrante deste Edital, à disposição no Portal de Compras da Prefeitura Municipal de Curitiba (www.e-compras.curitiba.pr.gov.br).;;RUA NOVA AURORA 1851;19/11/2020;42-000169/2020;;;Processo Deserto
SME       ;FN 96/2020;Financeiro;Acordo de cooperação entre o Municipio de Curitiba e o Tribunal Regional Eleitoral do Paraná.;R$ 0,00;Conforme processo original nº01-044680/2020;19/11/2020;01-044680/2020;;;Confirmado Vencedor
FMS       ;PE 163/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS MÉDICO-HOSPITALARES PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 204.625,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA - PR;19/11/2020;01-115818/2020;17/12/2020;15/02/2021;Empenhado
FMS       ;FN 17/2020;Financeiro;TERMO DE COOPERAÇÃO TÉCNICA PARA ESTABELECER COMPETÊNCIAS NO QUE SE REFERE AO USO DE CAMPO PARA DESENVOLVIMENTO DE ATIVIDADES PRÁTICAS E DEMAIS VIVÊNCIAS PEDAGÓGICAS CURRICULARES, DE ACORDO COM O ESTABELECIDO NAS DIRETRIZES CURRICULARES NACIONAIS PARA A FORMAÇÃO DE RECURSOS HUMANOS DE EDUCAÇÃO PROFISSINAL DE NÍVEL MÉDIO, NA ÁREA DE SAÚDE E AFINS, PARA OS CURSOS DE TÉCNICO DE ENFERMAGEM E PÓS TECNÓLOGO.;R$ 0,00;RUA FRANCISCO TORRES, 830 - SMS;20/01/2021;01-100345/2020;21/01/2021;19/01/2026;Confirmado Vencedor
SME       ;PE 280/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE BRINQUEDOS PELO PERÍODO DE 12 MESES ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 1.683.206,70;Conforme edital, item 17.;20/11/2020;01-114467/2020;19/11/2020;20/01/2022;Parcialmente Empenhado
CTBA S/A  ;PE 5/2020;PREGÃO ELETRÔNICO;A presente licitação tem por objeto a contratação de empresa para prestação de serviços de auditoria independente nas Demonstrações Contábeis da COMPANHIA DE DESENVOLVIMENTO DE CURITIBA - CURITIBA S.A., em atendimento às Leis Federais n.º 6.404/76 e 11.638/07, relativamente ao exercício de 2020, conforme especificações e quantitativos descritos no Anexo I do respectivo Edital, bem como as características mínimas contidas no formulário proposta eletrônica e anexos, partes integrante deste Edital, à disposição no Portal de Compras da Prefeitura Municipal de Curitiba (www.e-compras.curitiba.pr.gov.br).;R$ 13.040,00;RUA BARAO DO RIO BRANCO 45;19/11/2020;57-000155/2020;22/12/2020;19/06/2021;Confirmado Vencedor
FCC       ;PE 21/2020;PREGÃO ELETRÔNICO;Prestação de serviços de plotagens para atender os eventos da Fundação Cuiltural de Curitiba, através do sistema de registro de preços para o periodo de 12 meses.;R$ 494.565,00;Conforme empenho;19/11/2020;57-000140/2020;19/11/2020;16/12/2021;Parcialmente Empenhado
FMS       ;PE 164/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 3.643.180,00;R. João Bettega, 3350 - CIC - Almoxarifado SMS;23/11/2020;01-113153/2020;19/11/2020;01/02/2022;Parcialmente Empenhado
FCC       ;PE 22/2020;PREGÃO ELETRÔNICO;Aquisição de equipamentos de sonorização e iluminação;R$ 361.892,80;Rua Davi Xavier da Silva 451 - CIC;20/11/2020;57-000113/2020;;;Confirmado Vencedor
SMMA      ;PE 281/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL - EPIs, PARA ATENDER A SECRETARIA MUNICIPAL DO MEIO AMBIENTE.;;Conforme Termos de Referência, anexos do Edital;20/11/2020;01-114006/2020;;;Processo Fracassado
SMELJ     ;PE 282/2020;PREGÃO ELETRÔNICO;Aquisição de material permanente para equipar o Centro de Referência e Esporte em Atividade Física;R$ 20.800,30;Conforme Empenho;20/11/2020;01-096489/2020;14/12/2020;24/12/2020;Parcialmente Empenhado
SMMA      ;TP 12/2020;Tomada de Preço;Contratação de empresa para executar obras e serviços de engenharia para implantação da Praça Memorial da Saude, localizada na Rua Cruz Machado x Rua Visconde de Nacar, Bairro Centro, Regional Matriz no Municipio de Curitiba.;R$ 377.901,38;Departamento de Parque e Praças da SMMA;23/11/2020;01-112930/2020;18/12/2020;16/04/2021;Confirmado Vencedor
SMMA      ;PE 283/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS DE USO VETERINÁRIO, MATERIAL LABORATORIAL, MATERIAL DE USO VETERINÁRIO, LARVAS, TESTE DE CINOMOSE, RAÇÃO PARA CÃES, VISANDO ATENDER À DEMANDA DOS SETORES DO DEPARTAMENTO DE PESQUISA E CONSERVAÇÃO DA FAUNA.;R$ 105.692,03;Endereços nos Termos de Referência;20/11/2020;01-112784/2020;15/12/2020;14/01/2021;Parcialmente Empenhado
FMAS      ;PE 32/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ALIMENTAÇÃO BÁSICA, PARA ATENDIMENTO NO SUPORTE DAS AÇÕES DE COMBATE AO CORONA VÍRUS - COVID-19, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS.;R$ 67.931,63;CONFORME EMPENHO;20/11/2020;01-109439/2020;20/11/2020;13/06/2021;Parcialmente Empenhado
FCC       ;PE 23/2020;PREGÃO ELETRÔNICO;Aquisição de 04 microcomputadores PC 01 Impressora jato de tinta para Casa Kellers ;R$ 36.037,00;Rua Ebgenheiros Rebouças 1732 - Rebouças;20/11/2020;57-000147/2020;10/12/2020;24/01/2021;Empenhado
SGM       ;PE 284/2020;PREGÃO ELETRÔNICO;"CONTRATAÇÃO DE EMPRESA PARA A PRESTAÇÃO DE SERVIÇOS DE TRADUÇÃO, VERSÃO E REVISÃO DE TEXTOS EM INGLÊS E ESPANHOL", pelo Sistema de Registro de Preços, por um período de 06 (seis) meses.;R$ 25.950,00;Conforme item 7 do Anexo I do edital de embasamento.;20/11/2020;01-086593/2020;20/11/2020;22/06/2021;Confirmado Vencedor
FAAC      ;PE 28/2020;PREGÃO ELETRÔNICO;SERVIÇO DE CONFECÇÃO, RETIRADA E INSTALAÇÃO DE TOLDOS E LIXEIRA;R$ 26.667,00;Cfe. tabela 1.4 do termo de referência.;20/11/2020;01-107055/2020;14/12/2020;12/02/2021;Empenhado
ICS       ;PE 29/2020;PREGÃO ELETRÔNICO;CONTRATAÇÃO EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MEDICINA OCUPACIONAL, PARA REALIZAÇÃO DE EXAMES OCUPACIONAIS COM FORNECIMENTO DE LAUDOS, PROGRAMAS PARA ATENDIMENTO DO QUADRO DE COLABORADORES DO INSTITUTO CURITIBA DE SAÚDE ATRAVÉS DE PREGÃO ELETRÔNICO PELO PERÍODO DE 12 (DOZE) MESES;R$ 40.452,20;Av. Marechal Floriano Peixoto, 1895;20/11/2020;57-000154/2020;;;Confirmado Vencedor
ICS       ;PE 30/2020;PREGÃO ELETRÔNICO;Aquisição de equipamentos de proteção individual - EPI, através de processo de processo de pregão eletrônico, sistema de registro de preços, pelo período de doze meses, para o Instituto Curitiba de Saúde.;R$ 78.785,00;RUA SANTO ANTONIO, 400 REBOUÇAS;20/11/2020;57-000153/2020;20/11/2020;;Confirmado Vencedor
FMAS      ;FN 54/2020;Financeiro;O presente tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL, por dispensa de chamamento público, conforme Resolução nº150/2020 - CMAS, para desenvolver o plano de trabalho, que tem por objetivo executar o Serviço de Acolhimento Institucional na modalidade abrigo Institucional. Assegurando a promoção da garantia de direitos de adolescentes em situação de vulnerabilidade e risco social.;R$ 120.000,00;FAS;20/11/2020;35-000510/2020;23/11/2020;21/05/2021;Confirmado Vencedor
FMAS      ;PE 33/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE ALIMENTAÇÃO PERECÍVEL, PARA ATENDIMENTO NO SUPORTE DAS AÇÕES DE COMBATE AO CORONA VÍRUS - COVID-19, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS.;R$ 151.208,03;CONFORME EMPENHO;20/11/2020;01-109438/2020;20/11/2020;11/06/2021;Parcialmente Empenhado
ICS       ;DT 397/2020;Dispensa de Licitação - TCE;Aquisição de medicamento Avonex 30mg.;R$ 17.535,99;RUA SANTO ANTONIO 400;20/11/2020;01-101517/2020;;;Autorização de Fornecimento Gerada
ICS       ;DT 398/2020;Dispensa de Licitação - TCE;Aquisição de medicamento Abemaciclibe 100mg;;RUA SANTO ANTONIO 400;20/11/2020;01-111309/2020;;;Processo de Compra Montado
ICS       ;DT 399/2020;Dispensa de Licitação - TCE;Aquisição de medicamento Adalimumabe 40mg;;RUA SANTO ANTONIO 400;20/11/2020;42-000246/2020;;;Processo de Compra Montado
SMMA      ;PE 285/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL DE EXPEDIENTE E TONERS PARA ATENDER A SECRETARIA MUNICIPAL DO MEIO AMBIENTE;R$ 7.108,09;Endereços de entrega nos termos de referência;20/11/2020;01-113242/2020;11/12/2020;10/01/2021;Parcialmente Empenhado
FMS       ;PE 165/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GELADEIRAS PARA IMUNOBIOLÓGICOS, PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 48.440,00;Almoxarifado da SMS - Rua João Bettega 3350-CIC;23/11/2020;01-115135/2020;16/12/2020;05/01/2021;Empenhado
SMSAN     ;PE 286/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MICRO-ONDAS E BEBEDOUROS.;R$ 5.479,90;RUA CAPITÃO JOÃO BUSSE, 660 - CAJURU;23/11/2020;01-109356/2020;14/12/2020;13/01/2021;Parcialmente Empenhado
FAAC      ;PE 29/2020;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS DE REFRIGERAÇÃO, COM MÃO-DE-OBRA E FORNECIMENTO DE PEÇAS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 325.731,50;Conforme termo de referencia;24/11/2020;01-107056/2020;23/11/2020;15/12/2021;Parcialmente Empenhado
ICS       ;DT 400/2020;Dispensa de Licitação - TCE;Aquisição de medicamento Lenalidomida 15mg.;R$ 45.590,40;RUA SANTO ANTONIO 400;23/11/2020;01-112317/2020;;;Autorização de Fornecimento Gerada
ICS       ;DT 401/2020;Dispensa de Licitação - TCE;Aquisição de medicamento Palbociclibe 125mg.;R$ 32.384,00;RUA SANTO ANTONIO 400;23/11/2020;01-113140/2020;;;Autorização de Fornecimento Gerada
ICS       ;DT 402/2020;Dispensa de Licitação - TCE;Aquisição de medicamento Abiraterona 500mg;;RUA SANTO ANTONIO 400;23/11/2020;01-114061/2020;;;Processo de Compra Montado
ICS       ;DT 403/2020;Dispensa de Licitação - TCE;Aquisição medicamento DENOSUMABE 60MG (PROLIA);;RUA SANTO ANTONIO 400;23/11/2020;01-115608/2020;;;Processo de Compra Montado
ICS       ;DT 404/2020;Dispensa de Licitação - TCE;Aquisição medicamento RIBOCICLIBE 200MG (KISQALI);;RUA SANTO ANTONIO 400;23/11/2020;01-115850/2020;;;Processo de Compra Montado
FAAC      ;PE 30/2020;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DE BALANÇAS ELETRÔNICAS COM FORNECIMENTO DE PEÇAS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS PELO PERÍODO DE 12 MESES.;R$ 88.120,00;Conforme recibo de entrega.;27/11/2020;01-106464/2020;23/11/2020;05/01/2022;Parcialmente Empenhado
ICS       ;DT 405/2020;Dispensa de Licitação - TCE;Aquisição de medicamentos aos benificiários do ICS.;R$ 38.047,05;Rua Santo Antonio, 400;23/11/2020;42-000250/2020;;;Autorização de Fornecimento Gerada
ICS       ;PE 31/2020;PREGÃO ELETRÔNICO;Aquisição de material de consumo odontológico através de processo de pregão eletrônico, sistema de registro de preços pelo período de doze meses, para o Instituto Curitiba de Saúde.;R$ 172.169,63;RUA SANTO ANTONIO, 400 REBOUÇAS;23/11/2020;57-000148/2020;23/11/2020;06/01/2022;Parcialmente Empenhado
SMAP      ;PE 287/2020;PREGÃO ELETRÔNICO;Contratação de empresa para fornecimento de gás liquefeito de petróleo de 45k,  através de Sistema de Registro de Preços,  com validade para 12 (doze)  meses. ;R$ 151.235,00;Conforme locais do Termo de Referência;23/11/2020;01-103807/2020;23/11/2020;11/12/2021;Parcialmente Empenhado
FMS       ;DT 262/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO TIMOLOL. ;R$ 3.360,00;RUA JOÃO BETTEGA, 3350 - CIC - ALMOXARIFADO SMS.;23/11/2020;01-115916/2020;25/11/2020;02/12/2020;Empenhado
IPPUC     ;PE 8/2020;PREGÃO ELETRÔNICO;Prestação de serviços de fiscalização do emprego dos recursos obtidos com a distribuição pública de Certificados de Potencial Adicional de Construção (CEPAC), exclusivamente nas intervenções da Operação Urbana Consorciada Linha Verde (OUC-LV), acompanhando o andamento das referidas intervenções e assegurando a suficiência e veracidade das informações que serão periodicamente prestadas pelo Município de Curitiba ao Mercado, consonante com a Instrução CVM no 401/2003 e suas alterações posteriores, e na forma estabelecida neste instrumento e em seus Anexos.;;Rua Bom Jesus, 669;25/11/2020;01-109636/2020;;;Processo Deserto
FMS       ;PE 166/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MOBILIÁRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 933.462,70;Almoxarifado da SMS-Rua João Bettega 3350 - CIC;27/11/2020;01-109167/2020;24/11/2020;26/03/2022;Confirmado Vencedor
FMS       ;PE 167/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE SOFTWARE E INFRAESTRUTURA PARA AMBIENTE DE COMPUTAÇÃO VIRTUALIZADA COMPOSTA POR EQUIPAMENTOS PARA PROCESSAMENTO, COMUNICAÇÃO E ARMAZENAMENTO DE DADOS, COM SERVIÇO DE INSTALAÇÃO, CONFIGURAÇÃO, GARANTIA, LICENCIAMENTO E SUPORTE TÉCNICO PELO PERIODO DE 60 (SESSENTA) MESES;R$ 3.728.662,00;Rua São Pedro, 910 - Cabral - Curitiba/PR - na sede do ICI;25/11/2020;01-082078/2020;07/01/2021;06/01/2026;Empenhado
FMHIS     ;PE 6/2020;PREGÃO ELETRÔNICO;Contratação de empresa para prestação de serviços técnicos especializados relativos à execução de sondagens de reconhecimento de solos à percussão com realização de ensaios SPT e elaboração de laudos geológicos e geotécnicos, para diversas áreas de intervenção da COHAB-CT.;;Barão do Rio Branco,45;17/03/2021;01-082662/2020;;;Processo de Compra Montado
SMMA      ;PE 288/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE SEMENTES DE GIRASSOL, RAÇÃO PARA ARARA, PAPA PARA FILHOTES DE PÁSSAROS, MILHO SECO, QUIRERA DE MILHO, RAÇÃO PARA CÃES, RAÇÃO PARA GATOS, VISANDO ATENDER À DEMANDA DO CENTRO DE APOIO À FAUNA SILVESTRE (CAFS);R$ 8.414,00;R. Professor Nivaldo Braga, 1369, Capão da Imbuia;24/11/2020;01-112745/2020;11/12/2020;10/01/2021;Empenhado
SMMA      ;PE 289/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MICROONDAS, CAFETEIRA, CADEIRA GIRATÓRIA, ROTEADOR, PEN DRIVE, HD EXTERNO, GERENCIADOR DE WIFI PARA ATENDER A SECRETARIA MUNICIPAL DO MEIO AMBIENTE.;R$ 17.332,00;Conforme Termo de Referência;25/11/2020;01-114039/2020;11/12/2020;10/01/2021;Empenhado
SME       ;PE 290/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE PAPEL OPALINE BRANCO A3 E A4, PAPEL SULFITE BRANCO A3 E A4 E ETIQUETA AUTOADESIVA BRANCA A4 PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 664.172,50;Conforme edital item 17.;25/11/2020;01-114012/2020;24/11/2020;07/01/2022;Parcialmente Empenhado
FCC       ;PE 24/2020;PREGÃO ELETRÔNICO;Prestação de serviços gráficos para atender os eventos da Fundação Cultural de Curitiba pelo sistema de registro de Preço pelo periodo de 12 meses.;R$ 34.997,50;conforme empenho.;11/12/2020;57-000142/2020;24/11/2020;10/02/2022;Confirmado Vencedor
FUC       ;PE 26/2020;PREGÃO ELETRÔNICO;Aquisição de carreta reboque especial.;;Conforme Edital;22/12/2020;01-111018/2020;;;Processo Deserto
SMMA      ;IN 24/2020;Inexigibilidade de Licitação;Prestação de serviços artísticos, obra em graffiti "Painel da Fauna Paranaense" no muro do Museu de História Natural Capão da Imbuia;R$ 6.000,00;Museu de História Natural do Capão da Imbuia;25/11/2020;01-110209/2020;07/12/2020;06/03/2021;Pedido ou Empenho Anulado
SMMA      ;CP 28/2020;Concorrência Pública;Contratação de empresa para Execução da Manutenção de árvores presentes na Arborização Pública Viária compreendendo: poda, limpeza de erva de passarinho, remoção, serviços emergenciais, coleta e transporte dos resíduos vegetais gerados nas atividades desenvolvidas bem como sua destinação.;;Departamento de Produção Vegetal da SMMA;21/12/2020;01-094821/2020;;;Processo de Compra Montado
SGM       ;PE 291/2020;PREGÃO ELETRÔNICO;PRESTAÇÃO DOS SERVIÇOS DE ROÇADA COM TRANSPORTE DOS RESÍDUOS RESULTANTES, POR SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES, EM ÁREAS DE ABRANGÊNCIA DOS DISTRITOS DE MANUTENÇÃO URBANA DA SECRETARIA DO GOVERNO MUNICIPAL.;R$ 3.405.600,00;Conforme anexo VIII do edital de embasamento.;26/11/2020;01-104781/2020;25/11/2020;29/03/2022;Parcialmente Empenhado
IMT       ;PE 11/2020;PREGÃO ELETRÔNICO;Contratação de empresa especializada em serviços de solução de pagamento por meio eletrônico, que realize captura, roteamento, transmissão e processamento de transações financeiras nos recebimentos por cartão de débito e crédito.;R$ 7.206,69;Rua Prof. Lycio Grein Castro Vellozo, 191 - Mercês - Curitiba - PR;25/11/2020;57-000150/2020;;;Confirmado Vencedor
FMS       ;DT 263/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE MEDICAMENTO MIRABEGRONA 50mg.;R$ 601,20;RUA FRANCISCO TORRES, 830 - ANDAR C - SALA C02.;25/11/2020;01-120192/2020;26/11/2020;03/12/2020;Empenhado
FMS       ;PE 168/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL PERMANENTE PARA A SECRETARIA MUNICIPAL DA SAÚDE.;;R. JOÃO BETTEGA, 3350 - BARRACÃO 2 - CIDADE INDUSTRIAL - CURITIBA - PR;25/11/2020;01-118362/2020;;;Processo Fracassado
FMS       ;PE 169/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAL PERMANENTE PARA A SECRETARIA MUNICIPAL DA SAÚDE.;;Almoxarifado Central da Secretaria Municipal da Saúde;25/11/2020;01-114566/2020;;;Processo Fracassado
ICS       ;DT 406/2020;Dispensa de Licitação - TCE;Aquisição medicamento OLAPARIBE (LYMPARZA) 150MG - CX C/ 56 CP;;RUA SANTO ANTONIO 400;25/11/2020;01-115400/2020;;;Processo de Compra Montado
FMS       ;IN 23/2020;Inexigibilidade de Licitação;FORMALIZAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE SAÚDE AO SISTEMA ÚNICO DE SAÚDE DO MUNICÍPIO DE CURITIBA, COM O HOSPITAL DA CRUZ VERMELHA BRASILEIRA DO PARARANÁ, HOSPITAL FILANTRÓPICO, O QUAL TEVE MANTIDA PELO MINISTÉRIO DA SAÚDE, COM ATENDIMENTO NAS ÁREAS DE MÉDIA E ALTA  COMPLEXIDADE AMBULATORIAL E HOSPITALAR, DESENVOLVENDO ATIVIDADES DE ENSINO E PESQUISA, EM ESPECIAL AS COMPATIBILIZADAS COM A REALIDADE SANITÁRIA LOCO-REGIONAL E CONSEQUENTES DEMANDAS DO SUS, APERFEIÇOANDO O MODELO ASSISTENCIAL FOCADO EM RESULTADOS COM ÊNFASE NAS PRÁTICAS DE ASSISTÊNCIA INTEGRAIS E HUMANIZADAS. ;R$ 17.873.098,89;RUA FRANCISCO TORRES, 830 - SMS;25/11/2020;01-109527/2020;26/11/2020;25/11/2021;Confirmado Vencedor
FMCA      ;FN 93/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal para a Criança e Adolescente, por dispensa de chamamento público, conforme Resolução nº 115/2020 - COMTIBA, para desenvolver o plano de trabalho Covid-19 - Prevenir e Proteger sob a égide da garantia de direitos, que tem por objetivo geral assegurar medidas emergenciais de prevenção e proteção na Instituição de Acolhimento, tendo em vista o cenário Pandêmico - COVID-19, ponderado as medidas de isolamento social bem como da perspectiva de garantia de direitos das crianças protegidas;R$ 122.000,00;fas;30/11/2020;01-081122/2020;01/12/2020;30/03/2021;Confirmado Vencedor
FMCA      ;FN 93/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal para a Criança e Adolescente, por dispensa de chamamento público, conforme Resolução nº 115/2020 - COMTIBA, para desenvolver o plano de trabalho Covid-19 - Prevenir e Proteger sob a égide da garantia de direitos, que tem por objetivo geral assegurar medidas emergenciais de prevenção e proteção na Instituição de Acolhimento, tendo em vista o cenário Pandêmico - COVID-19, ponderado as medidas de isolamento social bem como da perspectiva de garantia de direitos das crianças protegidas;R$ 122.000,00;fas;30/11/2020;01-081122/2020;01/12/2020;30/03/2021;Confirmado Vencedor
FMS       ;PE 170/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TERMOHIGROMETROS PARA A SECRETARIA MUNICIPAL DA SAÚDE.;R$ 1.791,44;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;26/11/2020;01-117833/2020;17/12/2020;06/01/2021;Empenhado
FMAS      ;PE 34/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS EM FORMATO DE KITS LANCHE INDUSTRIALIZADOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS.;;Conforme empenho;27/11/2020;01-109405/2020;25/11/2020;25/01/2021;Processo de Compra Montado
FMCA      ;FN 94/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal para a Criança e Adolescente, por dispensa de chamamento público, conforme Resolução nº 215/2020 - COMTIBA, para desenvolver o plano de trabalho UMA INICIATIVA EM ABRIGO EMERGENCIAL II, que tem por objetivo geral oferecer acolhimento provisório para crianças e adolescentes afastados do convívio familiar por meio de medida protetiva de abrigo (ECA, Art. 101), realizando ações voltadas à proteção social, orientação e informação das crianças e adolescentes em situação de vulnerabilidade e risco social, com vistas à prevenção do Covid-19 e disseminação do vírus.;R$ 192.000,00;fas;25/11/2020;35-000906/2020;26/11/2020;24/05/2021;Confirmado Vencedor
